"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Verilog", "SVG", "C", "Assembly", "JavaScript JSX", "Arduino", "comment", "blank", "total"
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ARUINO CODES\nrf\nrf.ino", "Arduino", 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -63, -53, -149
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\initialize nrf.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -346, 0, 0, 0, -76, -422
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\initializer.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -2, -5
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\main.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, 0, -46, -105
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\modify_register.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, -29, -67
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\parse command.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -390, 0, 0, 0, -51, -441
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\read regiter field.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, -34, -60
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\receive data.s", "Assembly", 0, 0, 0, 0, 0, 0, 0, -82, 0, 0, 0, -35, -117
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\C_codes\main.c", "C", 0, 0, 0, 0, 0, 0, -292, 0, 0, 0, -188, -462, -942
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\CPU\ALU.v", "Verilog", 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, -48, -82, -216
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\CPU\CENTRAL CONTROL UNIT.v", "Verilog", 0, 0, 0, 0, -75, 0, 0, 0, 0, 0, -3, -24, -102
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\CPU\OPERATION DECODER.v", "Verilog", 0, 0, 0, 0, -169, 0, 0, 0, 0, 0, -35, -113, -317
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\CPU\PLUS 1 ADDER.v", "Verilog", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -4, -12
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\CPU\PROGRAM COUNTER.v", "Verilog", 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -13, -28
